function,param,model
a_pow_n,param_id_0,const
a_pow_n,param_id_1,linear
add,param_id_0,const
add,param_id_1,linear
aij_ajk_bkl,param_id_0,poly(2)
aij_ajk_bkl,param_id_1,const
aij_ajk_bkl,param_id_2,linear
aij_ajk_bkl,param_id_3,linear
array_inc,param_id_0,linear
array_prod,param_id_0,linear
array_sum,param_id_0,linear
binary_digits,param_id_0,const
binary_mul_sum,param_id_0,linear
biquad_N_sections,param_id_0,linear
clamp,param_id_0,linear
collatz,param_id_0,const
convol,param_id_0,linear
convol,param_id_1,linear
convolution,param_id_0,linear
count_each,param_id_0,const
count_odds,param_id_0,linear
cube_in_place,param_id_0,linear
darken,param_id_0,linear
darken,param_id_1,linear
digit_prod,param_id_0,const
digits,param_id_0,const
dot,param_id_0,linear
elementwise_sum_of_negated_sum_and_max,param_id_0,linear
eq,param_id_0,linear
even_after_div_three,param_id_0,linear
even_after_div_three,param_id_1,const
evens,param_id_0,linear
fact,param_id_0,linear
fact_fact,param_id_0,linear
fib_n,param_id_0,linear
fir,param_id_0,poly(2)
fir_small,param_id_0,linear
fourth_in_place,param_id_0,linear
gaussian_blur,param_id_0,linear
gaussian_blur,param_id_1,linear
gemv,param_id_0,linear
gemv,param_id_1,linear
ger,param_id_0,linear
ger,param_id_1,linear
h_edge,param_id_0,linear
h_edge,param_id_1,linear
histo,param_id_0,linear
histo,param_id_1,linear
int_sqrt,param_id_0,const
kernel_fdtd_2,param_id_1,const
kernel_fdtd_2d,param_id_0,linear
kernel_fdtd_2d,param_id_1,linear
kernel_jacobi_1d_imper,param_id_0,linear
kernel_jacobi_1d_imper,param_id_1,linear
kernel_seidel_2d,param_id_0,linear
kernel_seidel_2d,param_id_1,poly(2)
last_elem,param_id_0,linear
last_zero_idx,param_id_0,linear
latnrm,param_id_0,linear
latnrm_big,param_id_0,linear
latnrm_big,param_id_1,linear
len,param_id_0,linear
len_sq,param_id_0,linear
length,param_id_0,const
lerp,param_id_0,linear
lpc,param_id_0,linear
lpc,param_id_1,const
lpc,param_id_2,poly(2)
lpc,param_id_3,const
matadd,param_id_0,linear
matadd,param_id_1,linear
matinit,param_id_0,const
matinit,param_id_1,linear
matinit,param_id_2,linear
matmul,param_id_0,linear
matmul,param_id_1,linear
matmul,param_id_2,linear
matmul_sca,param_id_0,const
matmul_sca,param_id_1,linear
matmul_sca,param_id_2,linear
matrix1,param_id_0,linear
matrix1,param_id_1,linear
matrix1,param_id_2,linear
matrix2_main,param_id_0,linear
matrix2_main,param_id_1,linear
matrix2_main,param_id_2,linear
matscal,param_id_0,const
matscal,param_id_1,linear
matscal,param_id_2,linear
matsub,param_id_0,linear
matsub,param_id_1,linear
max,param_id_0,linear
max_elt,param_id_0,linear
mean,param_id_0,linear
mean_filter,param_id_0,linear
mean_filter,param_id_1,linear
mem_chr,param_id_0,linear
mem_cmp,param_id_0,linear
mem_cpy,param_id_0,linear
mem_move,param_id_0,linear
mem_set,param_id_0,linear
member,param_id_0,linear
member,param_id_1,const
merge,param_id_0,linear
merge,param_id_1,linear
min,param_id_0,linear
min_elt,param_id_0,linear
min_so_far_subtracted,param_id_0,linear
mirror_image,param_id_0,linear
muleq,param_id_0,linear
muleq_sca,param_id_0,const
muleq_sca,param_id_1,linear
multiply_evens,param_id_0,linear
multiply_min_diff,param_id_0,linear
n_complex_updates,param_id_0,linear
n_m_prod,param_id_0,const
n_m_prod,param_id_1,linear
n_m_sum,param_id_0,const
n_m_sum,param_id_1,linear
n_real_updates,param_id_0,linear
negate,param_id_0,linear
norm,param_id_0,linear
noteq,param_id_0,linear
pluseq,param_id_0,linear
prod_elts,param_id_0,linear
prod_n_squared,param_id_0,linear
prod_sq_elts,param_id_0,linear
replace_first,param_id_0,linear
replace_last,param_id_0,linear
reverse,param_id_0,linear
reverse_int,param_id_0,const
search,param_id_0,const
search,param_id_1,linear
sharpen,param_id_0,linear
sharpen,param_id_1,linear
slice,param_id_0,linear
slice,param_id_1,linear
sort,param_id_0,poly(2)
square_root,param_id_0,linear
squash,param_id_0,linear
squash,param_id_1,linear
str_ncat,param_id_0,const
str_ncmp,param_id_0,const
str_ncpy,param_id_0,const
subeq,param_id_0,linear
subeq_sca,param_id_0,const
subeq_sca,param_id_1,linear
subtract_of_min_reverse,param_id_0,linear
sum_abs,param_id_0,linear
sum_elts,param_id_0,linear
sum_n,param_id_0,linear
sum_n_squared,param_id_0,linear
sum_of_lists_multiplied_after_dividing_by_three,param_id_0,linear
sum_of_positives,param_id_0,linear
sum_of_squares,param_id_0,linear
swap,param_id_0,linear
triangle_prod,param_id_0,poly(2)
triangle_sum,param_id_0,poly(2)
v_edge,param_id_0,linear
v_edge,param_id_1,linear
vabs,param_id_0,linear
vadd,param_id_0,linear
vcopy,param_id_0,linear
vfill,param_id_0,const
vfill,param_id_1,linear
vmul,param_id_0,linear
vneg,param_id_0,linear
voffset,param_id_0,const
voffset,param_id_1,linear
vrecip,param_id_0,linear
vscal,param_id_0,const
vscal,param_id_1,linear
vsub,param_id_0,linear
w_vec,param_id_0,linear
yi_ai_bi_ci,param_id_0,linear
yi_aij_xj,param_id_0,linear
yi_aij_xj,param_id_1,linear
yi_aij_xj,param_id_2,const
yijk_aij_xj_fuse,param_id_0,linear
yijk_aij_xj_fuse,param_id_1,linear
yijk_aij_xj_fuse,param_id_2,linear
